,barrio,ciudad_vivienda,departamento,metros,numero_habitaciones,pauta_destacada,pauta_oportunidad,precio,tipo_vivienda,url
2380,san jose,sabaneta,antioquia,"67,00",3,1,0,1400000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/sabaneta/san_jose-det-4989795.aspx"
2381,antiguo campestre,bucaramanga,santander,"980,00",7,1,0,16500000,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bucaramanga/antiguo_campestre-det-4204508.aspx"
2382,diamante ii,bucaramanga,santander,"64,00",3,1,0,700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bucaramanga/diamante-det-4919018.aspx"
2383,el virrey,bogotá,cundinamarca,"160,00",3,1,0,3900000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/virrey-det-4730273.aspx"
2384,la américa,medellín,antioquia,"90,00",3,1,0,1350000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/america-det-5065049.aspx"
2385,jardin del rio,pasto,nariño,"95,00",3,1,0,1357000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/pasto/jardin_del_rio-det-4580837.aspx"
2386,20 de julio,medellín,antioquia,"85,00",4,1,0,750000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/julio-det-5053218.aspx"
2387,ciudad salitre,bogotá,cundinamarca,"88,00",3,0,0,4250000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/ciudad_salitre-det-5065765.aspx"
2388,cedritos,bogotá,cundinamarca,"35,00",1,1,0,1350000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/cedritos-det-4595937.aspx"
2389,chapinero alto,bogotá,cundinamarca,"70,00",2,0,0,1900000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/chapinero_alto-det-5065756.aspx"
2390,bello,bello,antioquia,"65,00",3,1,0,1350000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bello/bello-det-5051530.aspx"
2391,la aldea,la estrella,antioquia,"81,00",3,1,0,1200000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/la-estrella/aldea-det-5069046.aspx"
2392,bosque medina,bogotá,cundinamarca,"238,00",3,1,0,6500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/bosque_medina-det-4829605.aspx"
2393,avenida bolivar carrera 14,armenia,quindío,"72,00",2,1,0,1000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/armenia/avenida_bolivar_carrera-det-5058687.aspx"
2394,loma del barro,envigado,antioquia,"70,00",3,1,0,1300000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/envigado/loma_del_barro-det-5049980.aspx"
2395,av santander,manizales,caldas,"53,00",1,1,0,1800000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/manizales/santander-det-5063947.aspx"
2396,belmira usaquén,bogotá,cundinamarca,"134,00",3,1,0,2330000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/belmira_usaquen-det-4976698.aspx"
2397,la igualdad,bogotá,cundinamarca,"73,00",3,0,0,1450000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/igualdad-det-5065708.aspx"
2398,lujan,bogotá,cundinamarca,"70,00",2,0,0,800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/lujan-det-5065706.aspx"
2399,salvatorianos,itaguí,antioquia,"170,00",4,1,0,2200000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/itagui/salvatorianos-det-4996351.aspx"
2400,santa teresita,bogotá,cundinamarca,"45,00",1,1,0,980000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/santa_teresita-det-5064658.aspx"
2401,santa lucia,chía,cundinamarca,"36,00",1,0,1,750000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|77||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/chia/santa_lucia-det-5040012.aspx"
2402,los colores,medellín,antioquia,"50,00",2,1,0,1450000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/los_colores-det-5015589.aspx"
2403,pie de la popa,cartagena,bolívar,"55,00",2,0,1,1650000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/cartagena/pie_popa-det-5069814.aspx"
2404,belén,medellín,antioquia,"80,00",3,1,0,1500000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/medellin/belen-det-5000261.aspx"
2405,chicó navarra,bogotá,cundinamarca,"49,00",1,0,1,1250000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/chico_navarra-det-5069668.aspx"
2406,la floresta,bucaramanga,santander,"119,00",4,0,0,1350000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bucaramanga/floresta-det-5065669.aspx"
2407,riomar,barranquilla,atlántico,"45,00",1,1,0,1800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/barranquilla/riomar-det-5052971.aspx"
2408,puente largo,bogotá,cundinamarca,"64,00",2,1,0,1400000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/puente_largo-det-4353764.aspx"
2409,chico navarra,bogotá,cundinamarca,"78,00",2,1,0,2550000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/chico_navarra-det-5017333.aspx"
2410,galan,barrancabermeja,santander,"100,00",3,0,0,1600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/barrancabermeja/galan-det-5065661.aspx"
2411,vía guatiguará,piedecuesta,santander,"1.536,00",3,1,0,1200000.0,lote,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/lote-en-arriendo/piedecuesta/via_guatiguara-det-3474660.aspx"
2412,mirandela,bogotá,cundinamarca,"65,00",3,1,0,1052000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/mirandela-det-5068894.aspx"
2413,colseguros andes,cali,valle del cauca,"125,00",5,1,0,1300000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/cali/colseguros_andes-det-4990262.aspx"
2414,santa rita,bogotá,cundinamarca,"65,00",2,0,0,750000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/santa_rita-det-5065618.aspx"
