,barrio,ciudad_vivienda,departamento,metros,numero_habitaciones,pauta_destacada,pauta_oportunidad,precio,tipo_vivienda,url
0,portal de jamundi,jamundí,valle del cauca,"60,00",3,1,0,350000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/jamundi/portal_jamundi-det-5067314.aspx
1,alto prado,barranquilla,atlántico,"270,00",4,0,1,3500000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/barranquilla/alto_prado-det-4600567.aspx
2,estrella norte,bogotá,cundinamarca,"270,00",3,1,0,2600000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/bogota/estrella_norte-det-4802893.aspx
3,galerias,bogotá,cundinamarca,"45,00",1,0,0,1217000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/galerias-det-4948998.aspx
4,floralia,bogotá,cundinamarca,"65,00",2,0,0,580000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/floralia-det-5072186.aspx
5,santa bárbara,bogotá,cundinamarca,"160,00",3,0,0,4900000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/santa_barbara-det-5072182.aspx
6,villa maría,zipaquirá,cundinamarca,"63,00",3,0,0,600000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/zipaquira/villa_maria-det-5072180.aspx
7,las mercedes,bogotá,cundinamarca,"55,00",3,0,0,1200000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/las_mercedes-det-5072177.aspx
8,el prado,santa marta,magdalena,"75,00",2,0,0,700000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/santa-marta/prado-det-5072173.aspx
9,salitre,bogotá,cundinamarca,"90,00",3,0,0,2500000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/salitre-det-5072166.aspx
10,alarcon,bucaramanga,santander,"50,00",1,0,0,300000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bucaramanga/alarcon-det-5072163.aspx
11,morichal de comfandi,cali,valle del cauca,"90,00",3,0,0,700000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/cali/morichal_comfandi-det-5072155.aspx
12,suba compartir,bogotá,cundinamarca,"56,00",2,0,1,850000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/suba_compartir-det-4999379.aspx
13,santa barbara,palmira,valle del cauca,"1,00",1,0,0,280000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/palmira/santa_barbara-det-5072152.aspx
14,barrio villa maria,zipaquirá,cundinamarca,"66,00",3,0,1,800000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/zipaquira/barrio_villa_maria-det-5072149.aspx
15,sector las vegas,tabio,cundinamarca,"160,00",3,1,0,1350000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/tabio/sector_las_vegas-det-4785661.aspx
16,altos de bella suiza,bogotá,cundinamarca,"70,00",3,0,0,600000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/altos_bella_suiza-det-5072141.aspx
17,el batán,bogotá,cundinamarca,"46,00",1,0,0,260000000,apartaestudio,https://www.fincaraiz.com.co/Vivienda/arriendos//apartaestudio-en-arriendo/bogota/batan-det-5072138.aspx
18,fontibón,bogotá,cundinamarca,"25,00",1,0,0,440000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/fontibon-det-5072137.aspx
19,chapinero alto,bogotá,cundinamarca,"36,00",1,1,0,1300000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/chapinero_alto-det-5072024.aspx
20,atalaya primer etapa,cúcuta,norte santander,"20,00",1,0,0,250000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/cucuta/atalaya_primer_etapa-det-5072131.aspx
21,envigado,medellín,antioquia,"12,00",1,0,0,900000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/medellin/envigado-det-5072129.aspx
22,minuto de dios,bogotá,cundinamarca,"8,00",---,0,0,460000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/minuto_dios-det-5072127.aspx
23,los naranjos sector alfaguara,jamundí,valle del cauca,"63,00",3,0,0,780000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/jamundi/los_naranjos_sector_alfaguara-det-5072125.aspx
24,boston,barranquilla,atlántico,"330,00",4,0,0,2800000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/barranquilla/boston-det-5072124.aspx
25,belén,medellín,antioquia,"90,00",3,0,0,2300000.0,casa,https://www.fincaraiz.com.co/Vivienda/arriendos//casa-en-arriendo/medellin/belen-det-5072123.aspx
26,juanambú,cali,valle del cauca,"170,00",3,1,0,3500000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/cali/juanambu-det-4636947.aspx
27,chapinero norte,bogotá,cundinamarca,"15,00",1,1,0,650000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/chapinero_norte-det-3935715.aspx
28,quinta paredes,bogotá,cundinamarca,"15,00",1,1,0,650000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/bogota/quinta_paredes-det-3942448.aspx
29,sin_informacion,mosquera,cundinamarca,"2,00",1,0,0,320000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/mosquera/cumbre-det-5072122.aspx
30,santa bárbara,bogotá,cundinamarca,"30,00",1,0,0,1595000.0,apartaestudio,https://www.fincaraiz.com.co/Vivienda/arriendos//apartaestudio-en-arriendo/bogota/santa_barbara-det-5072121.aspx
31,la américa,medellín,antioquia,"120,00",1,0,1,350000.0,habitacion,https://www.fincaraiz.com.co/Vivienda/arriendos//habitacion-en-arriendo/medellin/america-det-4953201.aspx
32,la calleja,bogotá,cundinamarca,"30,00",1,0,0,1595000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/calleja-det-5072117.aspx
33,santa bárbara,bogotá,cundinamarca,"30,00",1,0,0,1450000.0,apartamento,https://www.fincaraiz.com.co/Vivienda/arriendos//apartamento-en-arriendo/bogota/santa_barbara-det-5072113.aspx
34,chico norte iii,bogotá,cundinamarca,"143,00",3,1,0,2620000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/chico_norte_iii-det-4041408.aspx"
35,ciudad bochalema,cali,valle del cauca,"67,00",3,0,1,950000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/cali/ciudad_bochalema-det-4980202.aspx"
36,almendros,bogotá,cundinamarca,"52,00",3,1,0,1100000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/almendros-det-4812169.aspx"
37,pance,cali,valle del cauca,"170,00",3,0,1,2600000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/casa-en-arriendo/cali/pance-det-5017976.aspx"
38,rincón del chicó,bogotá,cundinamarca,"60,00",2,0,1,2680000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/rincon_del_chico-det-5072109.aspx"
39,la calleja,bogotá,cundinamarca,"30,00",1,0,0,1450000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartaestudio-en-arriendo/bogota/calleja-det-5072107.aspx"
40,plaza de las américas,bogotá,cundinamarca,"96,00",3,0,0,1500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/plaza_las_americas-det-5072104.aspx"
41,quirigua,bogotá,cundinamarca,"9,00",1,0,0,350000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/habitacion-en-arriendo/bogota/quirigua-det-5072103.aspx"
42,soacha,soacha,cundinamarca,"42,00",2,0,0,480000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/soacha/soacha-det-5072098.aspx"
43,el cortijo,bogotá,cundinamarca,"75,00",3,0,0,1000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/cortijo-det-5072097.aspx"
44,valle del lili,cali,valle del cauca,"12,00",3,0,0,370000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/habitacion-en-arriendo/cali/valle_del_lili-det-5072095.aspx"
45,el contador,bogotá,cundinamarca,"89,00",3,0,0,2330000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/contador-det-5072091.aspx"
46,departamental,cali,valle del cauca,"32,00",1,0,0,490000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartaestudio-en-arriendo/cali/departamental-det-5072089.aspx"
47,la gloria,bogotá,cundinamarca,"55,00",2,0,0,590000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/gloria-det-5072087.aspx"
48,chicó navarra,bogotá,cundinamarca,"97,00",2,1,0,2800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/chico_navarra-det-5072079.aspx"
49,santa bárbara occidental,bogotá,cundinamarca,"114,00",3,0,0,3600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/santa_barbara_occidental-det-5072077.aspx"
50,suroccidente,medellín,antioquia,"98,00",3,0,0,1980000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/suroccidente-det-4602675.aspx"
51,ciudad sabana conjunto colibrí,mosquera,cundinamarca,"57,00",3,0,0,600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/mosquera/ciudad_sabana_conjunto_colibri-det-5072067.aspx"
52,sin_informacion,barranquilla,atlántico,"138,00",4,0,1,3500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/barranquilla/buenavista-det-5034342.aspx"
53,villa del prado,bogotá,cundinamarca,"20,00",1,0,0,530000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/habitacion-en-arriendo/bogota/villa_del_prado-det-5072063.aspx"
54,casa blanca,bogotá,cundinamarca,"50,00",3,0,0,650000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/casa_blanca-det-5072053.aspx"
55,chapinero alto,bogotá,cundinamarca,"48,00",1,0,0,1800000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartaestudio-en-arriendo/bogota/chapinero_alto-det-5072050.aspx"
56,las palmas,medellín,antioquia,"88,00",2,1,0,2700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/las_palmas-det-5070963.aspx"
57,las palmas,medellín,antioquia,"88,00",2,1,0,2700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/las_palmas-det-5070961.aspx"
58,patio bonito,medellín,antioquia,"69,00",2,1,0,2300000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/patio_bonito-det-5025136.aspx"
59,los balsos,medellín,antioquia,"100,00",3,1,0,1900000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/los_balsos-det-5025117.aspx"
60,castropol,medellín,antioquia,"125,00",3,1,0,2800000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/castropol-det-5025135.aspx"
61,astorga,medellín,antioquia,"240,00",3,1,0,8700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/astorga-det-5033203.aspx"
62,oviedo,medellín,antioquia,"135,00",3,1,0,3600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/oviedo-det-5006282.aspx"
63,las lomas,medellín,antioquia,"105,00",2,1,0,3100000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/las_lomas-det-5002922.aspx"
64,santa m de los angeles,medellín,antioquia,"145,00",3,1,0,3700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/santa_los_angeles-det-5002924.aspx"
65,loma del indio,medellín,antioquia,"54,00",2,1,0,1300000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/loma_del_indio-det-4996292.aspx"
66,cucharal,fusagasugá,cundinamarca,"35,00",1,0,0,650000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/apartaestudio-en-arriendo/fusagasuga/cucharal-det-5072046.aspx"
67,zarzamora,bogotá,cundinamarca,"15,00",1,0,0,400000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|2||||2||8,9,22,10,24,2|||||||||||||||||||||||1||griddate%20desc||||||/habitacion-en-arriendo/bogota/zarzamora-det-5072044.aspx"
68,san josé de bavaria,bogotá,cundinamarca,"72,00",3,1,0,1200000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/san_jose_bavaria-det-4877293.aspx"
69,nueva castilla,bogotá,cundinamarca,"58,00",3,0,1,820000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/nueva_castilla-det-4922223.aspx"
70,cielo mar,cartagena,bolívar,"67,00",1,1,0,1500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/cartagena/cielo_mar-det-3719487.aspx"
71,quiroga,bogotá,cundinamarca,"50,00",2,0,1,550000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/quiroga-det-5033982.aspx"
72,san alonso,bucaramanga,santander,"40,00",1,0,0,690000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/bucaramanga/san_alonso-det-5072042.aspx"
73,el porvenir 6 etapa,rionegro,antioquia,"60,00",3,0,0,950000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/rionegro/porvenir_etapa-det-5072035.aspx"
74,naranjos 1,chía,cundinamarca,"55,00",3,1,0,1000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/chia/naranjos-det-4925635.aspx"
75,centro,chía,cundinamarca,"192,00",4,1,0,2100000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/chia/centro-det-5026555.aspx"
76,lagos i,floridablanca,santander,"70,00",3,1,0,850000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/floridablanca/lagos-det-5059724.aspx"
77,cañaveral,floridablanca,santander,"94,00",3,1,0,850000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/floridablanca/canaveral-det-4564289.aspx"
78,palomitas,floridablanca,santander,"86,00",3,1,0,700000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/floridablanca/palomitas-det-4451593.aspx"
79,nuevo sotomayor,bucaramanga,santander,"396,00",6,1,0,2500000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bucaramanga/nuevo_sotomayor-det-5059721.aspx"
80,la fragua,bogotá,cundinamarca,"114,00",4,0,0,1400000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bogota/fragua-det-5072010.aspx"
81,las aguas,bogotá,cundinamarca,"57,00",1,0,0,2200000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/las_aguas-det-4992618.aspx"
82,santa bárbara,bogotá,cundinamarca,"128,00",3,0,0,2500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/santa_barbara-det-5072007.aspx"
83,bella suiza,bogotá,cundinamarca,"88,00",3,0,0,2100000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/bella_suiza-det-5072006.aspx"
84,el nogal,bogotá,cundinamarca,"118,00",3,1,0,4500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/nogal-det-4932268.aspx"
85,villa javier,bogotá,cundinamarca,"240,00",5,0,0,1900000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bogota/villa_javier-det-5071999.aspx"
86,cerritos,pereira,risaralda,"540,00",4,1,0,5200000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/pereira/cerritos-det-5066920.aspx"
87,socorro,cartagena,bolívar,"10,00",---,0,0,400000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/habitacion-en-arriendo/cartagena/socorro-det-5071994.aspx"
88,suba,bogotá,cundinamarca,"64,00",3,0,0,850000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/suba-det-5071989.aspx"
89,valle del lili,cali,valle del cauca,"65,00",3,0,0,1050000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/cali/valle_del_lili-det-5071987.aspx"
90,prado veraniego,bogotá,cundinamarca,"9,00",1,0,0,450000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/bogota/prado_veraniego-det-5071986.aspx"
91,soacha,soacha,cundinamarca,"57,00",3,0,0,450000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/soacha/soacha-det-5071985.aspx"
92,villa javier,bogotá,cundinamarca,"160,00",3,0,0,1200000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/villa_javier-det-5071984.aspx"
93,chicó,bogotá,cundinamarca,"38,00",1,0,0,2200000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/bogota/chico-det-5071979.aspx"
94,loma san josé,sabaneta,antioquia,"57,00",2,0,0,1100000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/sabaneta/loma_san_jose-det-5071972.aspx"
95,san alonso,bucaramanga,santander,"15,00",1,0,0,400000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/habitacion-en-arriendo/bucaramanga/san_alonso-det-5071967.aspx"
96,ciudadela la prosperidad  abundara,madrid,cundinamarca,"64,00",3,0,0,440000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/madrid/ciudadela_prosperidad_abundara-det-5071962.aspx"
97,naranjos,chía,cundinamarca,"55,00",3,0,0,1000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/chia/naranjos-det-5071960.aspx"
98,la finca,madrid,cundinamarca,"67,00",3,0,0,600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/madrid/finca-det-5071956.aspx"
99,av pradilla,chía,cundinamarca,"75,00",3,0,0,1250000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/chia/pradilla-det-5071954.aspx"
100,varsovis,ibagué,tolima,"40,00",1,0,0,450000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/ibague/varsovis-det-5071953.aspx"
101,el poblado,medellín,antioquia,"140,00",2,0,0,3500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|3||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/poblado-det-5071948.aspx"
102,alto de palmas,envigado,antioquia,"2.081,00",4,1,0,16000000,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|4||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/envigado/alto_palmas-det-4872233.aspx"
103,la cabrera,bogotá,cundinamarca,"326,00",4,0,1,12000000,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|4||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/cabrera-det-4999913.aspx"
104,el poblado,girón,santander,"100,00",4,1,0,650000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|4||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/giron/poblado-det-4937600.aspx"
